ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Capelin,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",479045.59,,825336,,973164,,730357,,251891.68,,592247,,170799,,299839,,478676,,45.13,,69.85,
Carangids nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",270,,203,,728,,558,,146,,129,,105,,154,,108,,57.76,,48.89,
Clupeoids nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",852,,1835,,223,,38,,113,,562,,387,,1209,,75,,4.23,,2.68,
Common dolphinfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",21,,19,,19,,4,,0,N,1,,2,,11,,21,,30,,1.78,
Crevalle jack,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9.95,,0.66,
Dealfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",145,,0,,11,,64,,13,,57,,0,,0,,0,,0,...,0.43,
Dealfishes,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.09,
European anchovy,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",15366,,23933,,23639,,20645,,29204,,44934,,34837,,51057,,44953,,42100.53,,42386.4,
European barracuda,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4.78,
European pilchard(=Sardine),"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",125997,,115893,,95934,,90989,,75055.4,,64055,,73342,,66474,,58887,,49466.78,,71175.27,
European sprat,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",538116.03,,438348,,373492,,364475,,437889.62,,567850,,505479,,417769,,500626.14,,478854.67,,459955.01,
False scad,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,48,,31,,84,,17,,6,,18,,32,,15.26,,27.15,
Flyingfishes nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.3,
Garfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",702.43,,1044,,559,,589,,681.14,,812,,756,,838,,663,,684.29,,510.97,
Greater amberjack,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",44,,54,,29,,32,,29,,50,,52,,35,,23,,47.72,,50.47,
Jack and horse mackerels nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",32497,,46140,,28217,,15664,,19845,,16220,,20614,,23706,,18792,,20325.07,,21732.79,
Leerfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",1,,4,,0,N,1,,1,,2,,1,,5,,1,,6.06,,2.21,
Mackerels nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",2286,,7713,,5365,,333,,156,,219,,71,,107,,55,,72.05,,11.99,
