ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Sunfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Vadigo,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,N,0,N,6,,2,,0,N,7,,1,,1,,1,,6.91,,8.79,
White trevally,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.12,,0.02,
Yellowmouth barracuda,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.21,
Southern opah,"Pacific, Antarctic",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,,0,...
Amberjacks nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",31,,43,,30,,89,,116,,72,,63,,82,,70,,75,,71.6,
Atlantic bumper,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Barracudas nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",322.2,,214.42,,918.29,,351.33,,167.49,,162.46,,108.27,,176.18,,100.14,,270.13,,258.04,
Bigeye barracuda,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0.04,,0,,0.07,,0.14,,0.13,,0.38,,0.42,,0.33,,0.22,,0.16,
Bigeye scad,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",328,,395,,217.26,,589.28,,668.02,,455.16,,1072,,608,,1167,,695.01,,686.77,
Bigeye trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0.03,,0,...,0,...,0.04,,0.06,,0.03,,0.15,,0.32,,0.03,,0.14,,0.26,
Black jack,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0.38,,0.12,,0.03,,1.09,,0.11,,0.34,,0.45,,0.51,,0.31,,0.44,,0.15,
Blackfin barracuda,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.02,,0,...,0,...,0,...,0,...,0,...,0.04,,0,...
Bluefin trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0.01,,0,...,0,...,0.04,,0,,0,,0.04,,0.07,,0.06,,0.05,,0.16,
Brassy trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.07,,0,...,0,...,0,...,0,...,0,...,0,...,0.03,
Californian anchovy,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",4356,,7730,,79016,,143454,,54904,,51361,,22444,,43436,,32970,,61523,,54707.53,
Carangids nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",173.05,,148.03,,252.15,,2405.06,,4431.03,,960.05,,728.43,,609,,670,,632,,692.81,
Clupeoids nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",3418,,3311,,1753,,744,,807,,972,E,302.43,,134.56,,158.81,,167.87,E,288.35,
Coastal trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.05,,0,...,0,...,0,...
Common dolphinfish,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",4425.36,,3942.45,,4894.95,,5507.81,,6311.32,,4769.11,,2202.1,,4950.64,,7986.05,,4003.97,,2875.07,
Cottonmouth jack,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Doublespotted queenfish,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,N,0,,0,N,0,,0,N,0,N,0.01,,0,N,0,N,0,N,0.01,
Flyingfishes nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",53,,58,,42,,80,,25,,25,,31,,28,E,28,E,28,E,28,E
Giant trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0.01,,0,...,0.01,,0.03,,0.11,,0.51,,0,...,0.16,,0.04,
Golden trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,
Great barracuda,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0.01,,0.01,,0.04,,0.07,,0.07,,0.04,,0.07,
Greater amberjack,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0.17,,0.28,,0.52,,0.09,,0.1,,0.12,,0.17,,0.09,,0.04,,0,...,0,
Green jack,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,469,,29,,52,,52,,0,...,80,,53,,94.47,
Halfbeaks nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",1,,3,,3,,12,,4,,4,E,1.32,,0.92,,1.16,,3.4,,0.68,
Heller's barracuda,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0,...,0,...,0,...,0,...
Indian mackerel,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0.01,,0.01,,0,...
Island trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.03,,0,...,0.03,,0.08,,0.2,,0.06,,0.06,,0.19,
"Jacks, crevalles nei","Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",12822,,4985,,5368,,6869,,10246,,10170,,9589,,11300,,10737,,9168,,8742.64,
Longfin yellowtail,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",1,,0,...,1,,0.07,,0,...,0.07,,0.01,,0.05,,0.03,,0.02,,0,...
Longnose trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,...
Mackerel scad,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,,0.04,,0,...,0,...,0.01,,0,...,0,...,0,...,0,...,0,...
"Needlefishes, etc. nei","Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0.01,,0,...,0,...,0,...,0,...,0.02,,0,...,0,...,0,...
Ocean sunfish,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,N,0,N,0,N,0,N,0,N,0,...,706,,0,...,0,...,0,...,0,...
Opah,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",942.09,,844,,839,,1083.05,,1025.01,,1092.86,,139.01,,960.66,,1193.63,,870.27,,138.32,E
Pacific anchoveta,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",51244,,129772,,342987,,262851,,118143,,110589,,44966,E,119523,,57817,,226782.1,,164647.49,
Pacific chub mackerel,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",10637,,8289,,21861,,40374,,49920,,57298,,83157,,59627,,93665,,57082,,51471.02,
Pacific flatiron herring,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pacific herring,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pacific jack mackerel,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",394,,146,,192,,1363,,333,,134,,511,,149,,572,,465,,443.61,
Pacific piquitinga,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",251,,259,,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,...
Pacific pompano,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pacific sardine,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",697135,,631599,,365917,,256381,,197526,,58811,,108119,,61459,,120845,,141198,,135782.96,
Pacific saury,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",21360,,18068,,13961,,20055,,23431,,11204,,16962,,0,,0,,0,,0,
Pacific thread herring,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",133525,,120523,,198604,,298660,,319727,,277757,,283737,,305472,,324813,,274601,,269140.42,
Pelagic percomorphs nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.14,,0,...
"Pomfrets, ocean breams nei","Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",269,,194,,332,,518,,564,,607,,529,,445,,422,,354,,238,
Pompanos nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",301,,367,,470,,4885,,1632,,2074,,2234,,2302,,2502,,2300,,2194.2,
Rainbow runner,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",1.08,,3.04,,2.02,,2.02,,3.04,,1.1,E,3.35,,3.4,,2.06,,3.02,,2.04,
Red-eye round herring,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",1024,,1154,,7933,,31772,,16384,,48145,,57210,,53443,,64075,,39851,,38017.85,
Scads nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",93,,71,,80,,79,,72,,634,,1049,,1026,E,1024,E,1038,E,1024,E
Short mackerel,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0.01,,3.94,,1.41,,0,...,0.01,,0.02,,0,...,0,...,0,...,0,...
Shortjaw leatherjacket,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,N,0,N,662,,6129,,12502,,7556,,2823,,8387,,3162,,5889,,5618.11,
Sickle pomfret,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",20.21,,23,,27,,38,,27,,37,,27.07,,27.02,E,27.04,E,27.04,E,27,E
Silversides(=Sand smelts) nei,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,...
Snubnose pompano,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0.03,,0.03,,0.09,,0.15,,0,...
Tille trevally,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0,...,0,...,0,...
Yellowtail amberjack,"Pacific, Eastern Central",Tonnes - live weight,"TLW, Number",7,,3,,9,,10,,19,,52,,26,,30,,19,,12,,18,
Amberjacks nei,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Californian anchovy,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Clupeoids nei,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Common dolphinfish,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",4,,3,,10,,1,,17,,27,,20,,11,,12,,21,,13,
Mackerels nei,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,...,0,...
Ocean sunfish,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...
Pacific barracuda,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",19,,36,,16,,8,,4,,1,,4,,1,,11,,0,N,1,
Pacific chub mackerel,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pacific herring,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",59192,,52779,,48582,,59634,,70253,,51496,,49465,,55855,,37486,,42706,,19369,
Pacific jack mackerel,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",313,,94,,272,,1112,,1837,,1538,,374,,432,,160,,467,,398,
Pacific sardine,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pacific saury,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Pomfrets, ocean breams nei","Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Red-eye round herring,"Pacific, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,9,
Amberjacks nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",126358,,120852,,110863,,130800,,138394,,133271,,123233,,135323,,115411,,126814.44,,120143.59,
"Anchovies, etc. nei","Pacific, Northwest",Tonnes - live weight,"TLW, Number",26,,30,,956,,6,,0,,13,,5,,4,,82,,0,...,3,
Barracudas nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",431,,439,,717,,1597,,1149,,1103,,766,,470,,522,,290.29,,381.62,
Black pomfret,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",744,,319,,388,,418,,52,,99,,117,,133,,152,,244.5,,270.74,
Blue mackerel,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",0,,0,,3324,,12656,,2471,,8889,,22244,,0,,0,,0,,0,
"Butterfishes, pomfrets nei","Pacific, Northwest",Tonnes - live weight,"TLW, Number",11048,,8783,,7117,,7701,,6154,,5454,,6672,,7575,,9926,,10382.76,,9260.15,
Capelin,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",1234,,763,,1524,,231,,1877,,2571,,9500,,12577,,14967,,10985,,12109,
Clupeoids nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",72574,,49197,,67075,,60388,,62038,,67012,,64984,,51935,,51223,,60391.22,,59115.36,
Cobia,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",322,,271,,233,,243,,169,,67,,15,,21,,14,,10.46,,11.99,
Common dolphinfish,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",9143,,7522,,10762,,9632,,11709,,9206,,13423,,11166,,9855,,10894.73,,6588.87,
Dorab wolf-herring,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Flyingfishes nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",84,,91,,141,,181,,129,,154,,192,,124,,189,,49.27,,204.07,
Greater amberjack,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",105,,118,,166,,216,,430,,483,,657,,380,,482,,412.6,,503.73,
Indian scad,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",154,,293,,125,,165,,0,...,0,...,0,,0,,0,,0,,0,...
"Jacks, crevalles nei","Pacific, Northwest",Tonnes - live weight,"TLW, Number",356,,391,,525,,435,,15,E,14,E,14,E,13,E,13,E,13,E,12,E
Japanese anchovy,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",1199195,,1321662,,1291905,,1324504,,1396011,,1336218,,1128357,,1060418,,958359,,927223.52,,969648.53,
Japanese flyingfish,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Japanese halfbeak,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",0,,396,,381,,672,,915,,1172,,598,,997,,610,,650,,759.26,
Japanese jack mackerel,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",210650,,250753,,202915,,204607,,217656,,236922,,193133,,212574,,188458,,188177.11,,194321.58,
Japanese sardinella,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",1787,,1685,,2036,,891,,1497,,2852,,2003,,1501,,1827,,2168,,1177.07,
Japanese scad,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",34309,,32736,,26274,,25895,,17829,,18546,,32185,,26843,,27482,,31495.17,,19392.99,
Mackerels nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,,0,
Ocean sunfish,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",534,,556,,354,,0,...,755,,986,,386,,427,,274,,451.46,,301.2,
Pacific chub mackerel,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",1140258,,1193018,,1143054,,1042295,,1154183,,1201406,,1158171,,1191691,,1297215,,1177253.72,,993474.39,
Pacific herring,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",271891,,343181,,405846,,454872,,408343,,432177,,448394,,469656,,416825,,431299,,448142.46,
Pacific sardine,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",205231,,318447,,268622,,360127,,347118,,460229,,529477,,644039,,697344,,788417,,1112379.5,
Pacific saury,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",411012,,440886,,449000,,410493,,607663,,348249,,345714,,250117,,376156,,195638.2,,147961.04,
"Pomfrets, ocean breams nei","Pacific, Northwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Red-eye round herring,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",49792,,85041,,80995,,89496,,75109,,97919,,99138,,72220,,55044,,60671.81,,40856.72,
Sardinellas nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,45991,,45005,E
Scads nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",566993,,565491,,584977,,574559,,604929,,589580,,578175,,537308,,496017,,450781,,416334,
Silver pomfret,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",436,,412,,375,,328,,257,,179,,284,,187,,211,,207.54,,201.11,
Silver pomfrets nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",364776,,358461,,341304,,326141,,329936,,346497,,330376,,329547,,326015,,326621,,331362,
Silver-stripe round herring,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",22,,88,,65,,90,,520,,218,,17,,17,,8,,24.57,,82.1,
Slender rainbow sardine,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",16,E,16,E,15,E,16,E,15,E,14,E,14,E,13,E,13,E,13,E,13,E
Stolephorus anchovies nei,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",16,E,16,E,15,E,16,E,15,E,14,E,14,E,13,E,13,E,13,E,13,E
Torpedo scad,"Pacific, Northwest",Tonnes - live weight,"TLW, Number",77,,164,,398,,545,,655,,715,,560,,200,,73,,53.07,,88.3,
Amberjacks nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",213,,56,,98,,116,,94,,18,,42,,273,,149,,160.34,,0,...
Anchoveta(=Peruvian anchovy),"Pacific, Southeast",Tonnes - live weight,"TLW, Number",4205979,,8319597,,4692855,,5674036,,3140029,,4310015,,3192476,,3922746,,7044950,,4248851.61,,4896057.83,
Araucanian herring,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",750750,,887272,,848466,,236968,,543278,,435863,,280421,,344262,,345422,,320147,,263853,
Atlantic pomfret,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,1,,82,,101,,0,
Atlantic saury,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",7013,,4681,,12977,,8097,,419,,3375,,244,,19,,69,,0,...,133,
Barracudas nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,16,,70,,8.3,,1.61,
"Barracudas, etc. nei","Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.09,
Blue fathead,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,65,,0,...,154,,83,,196,,46,,0,...
"Butterfishes, pomfrets nei","Pacific, Southeast",Tonnes - live weight,"TLW, Number",4835,,3109,,3030,,3170,,5918,,3025,,10069,,29989,,4113,,15227.47,,28216.39,
Carangids nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",3955,,1639,,584,,847,,677,,587,,1090,,2111,,1233,,1728.33,,1703.69,
Chilean jack mackerel,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",726937,,634800,,454748,,354898,,414454,,398780,,392582,,544803,,542896,,657158.4,,744611.16,
Chilean silverside,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",397,,859,,1828,,760,,1146,,877,,706,,550,,338,,330,,661,
Clupeoids nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,N,16,,1,,0.11,,0,...
Common dolphinfish,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",60489,,53468,,75291,,65360,,67120,,73356,,46498,,41886,,63298,,43574.81,,52930.99,
Falkland sprat,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",20173,,17822,,23797,,27214,,27230,,31393,,23655,,19293,,9046,,12587,,16889,
Flyingfishes nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",2676,,6004,,6166,,4626,,7545,,4838,,9344,,9038,,12921,,27568.63,,15470.31,
Fortune jack,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,39,,9.6,,6.9,
Green jack,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,45,,282.72,,279.7,
Gulf butterfishes nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,5705,,2840,,6597.34,,1207.71,
Jack and horse mackerels nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
"Jacks, crevalles nei","Pacific, Southeast",Tonnes - live weight,"TLW, Number",350,,140,,120,E,102,,101,,419,,108,,466,,0,...,91.01,,0,...
Longfin halfbeak,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.3,,145.95,,144.54,
Longfin yellowtail,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,21,,54,,29.6,,0,...
Longjaw leatherjacket,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,,1,,3.2,,0,...
Longnose anchovy,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",60727,,23678,,12022,,190,,213,,664,,2809,,652,,539,,20.23,,0.22,
Mackerels nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Mexican barracuda,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,39,,165,,0,...,1483,,2049,,792,,648.06,,1136.54,
Needlefishes nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,780,,0,...,15,,21,,45,,4.59,,0,...
"Needlefishes, etc. nei","Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,238,,0,,0,...
Opah,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,104,,70,,29,,12,,75,,124,,87.13,,122.68,
Pacific anchoveta,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",8910,,20800,,6758,E,6536,,7931,,26803,,42380,,22979,,34055,,15877.81,,5900.02,
Pacific bumper,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",585,,347,,336,,544,,4912,,227,,395,,3325,,1788,,3664.51,,5302.52,
Pacific chub mackerel,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",173022,,105517,,103357,,175795,,188013,,197844,,322579,,261664,,161916,,181330.46,,312883.5,
Pacific crevalle jack,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,263.05,,202.26,
Pacific harvestfish,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,1569,,289,,51.6,,1033.76,
Pacific menhaden,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",15477,,12216,,13500,,11035,,11911,,14917,,13206,,32740,,8770,,9421.91,,20342.69,
Pacific pomfret,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,,0,,0,,0,,0,,0,,40,,0,
Pacific sardine,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",105,,135,,399,,96,,936,,1212,,828,,548,,1694,,1557.23,,3557.47,
Pacific thread herring,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",29522,,20273,,33089,,13204,,25625,,32900,,11586,,17789,,13249,,15830.28,,36169.09,
Pelagic percomorphs nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Peruvian moonfish,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",676,,132,,186,,392,,3222,,138,,740,,12341,,4416,,6618.5,,8020.75,
Pompanos nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",202,,116,,597,,3,,77,,385,,369,,14,,0,...,0,,139.7,
Red-eye round herring,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",1903,,1760,,1653,,2650,,9096,,12365,,4919,,2389,,3324,,4191.65,,514.79,
Salema butterfish,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,103,,45,,291.4,,1304.43,
Shortfin scad,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",21097,,6917,,10543,,16146,,21583,,25676,,76742,,16012,,11177,,10963.87,,8401.76,
Silversides(=Sand smelts) nei,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",7406,,11556,,13810,,8318,,9728,,7669,,4753,,3267,,5431,,4370.13,,6335.51,
Southern rays bream,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",17409,,28839,,23214,,12018,,36066,,34357,,27616,,25904,,28430,,44394,,38109,
Starry butterfish,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,234,,428,,5.66,,12.1,
Yellowtail amberjack,"Pacific, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,1553,,1379,,11.5,,7.1,
[Hemiramphus spp],"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0,,0,,0,,0.01,,0,,0,,0,
[Hyporhamphus ihi],"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,14.03,,23.46,
Amberjacks nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",168,,185,,239,,209,,321,,222,,244,,230,,285,,345.96,,274.31,
"Anchovies, etc. nei","Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.28,,1.31,,0,,0.09,,0.66,,5.8,,2.65,,0.3,
Atlantic pomfret,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",117,,140,,150,,847,,658,,169,,125,,109,,273,,147,,211.64,
Barracudas nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
