Country (Name),ASFIS species (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Central America,Barracudas nei,Tonnes - live weight,"TLW, Number",646,,510,,1191,,1050,,1036,,559,,475,,620,,515,,755,,720.27,
Eastern Europe,Barracudas nei,Tonnes - live weight,"TLW, Number",0,,0,,63,,160,,11,,5,,4,,35,,0,,0,...,0,...
Caribbean,Barracudas nei,Tonnes - live weight,"TLW, Number",145.68,,205.7,,204.89,,245.54,,228.08,,181.25,E,131.07,E,133.28,E,140.17,E,104.97,E,98.9,E
South America,Barracudas nei,Tonnes - live weight,"TLW, Number",1189,E,1003,,972,,820,E,801,,678,E,772,,1134,E,830,E,768.3,E,760,E
Western Asia,Barracudas nei,Tonnes - live weight,"TLW, Number",14600,,9974,,10535,,11199,,10381,,12137,,11203,,14585,,15917,,15990.66,,13016.06,
Northern America,Barracudas nei,Tonnes - live weight,"TLW, Number",83,,62,,42,,50,,57,,72,,54,,37,,37,,27,,28.1,
Southern Asia,Barracudas nei,Tonnes - live weight,"TLW, Number",25498,,32115,,28482,,30603,,37359,E,49102,E,56549,,54764,,71466,,61040,,46928,
South-Eastern Asia,Barracudas nei,Tonnes - live weight,"TLW, Number",33138,,34570,,34069,,33967,,30539,,33079,,37806,,33787,,28636.1,,30867.3,,27280.57,
Polynesia,Barracudas nei,Tonnes - live weight,"TLW, Number",20.2,,54.42,,12.29,,2.33,,11.49,,5.46,,7.27,,7.18,E,7.14,E,7.13,E,7,E
Melanesia,Barracudas nei,Tonnes - live weight,"TLW, Number",400,,500,,500,E,500,E,540,E,515,E,550,E,550,E,550,E,550,E,550,E
Micronesia,Barracudas nei,Tonnes - live weight,"TLW, Number",9.81,E,5.65,,2.65,,53.53,,1.75,,5.28,E,10.44,E,5.35,E,5.18,E,5.61,E,5.43,E
Southern Europe,Barracudas nei,Tonnes - live weight,"TLW, Number",135,,145,,117,,159,,189,,149,,134,,133,,116,,95.31,,106.09,
Northern Europe,Barracudas nei,Tonnes - live weight,"TLW, Number",2,,55,,110,,54,,1,,0,,0,,0,,0,,0,...,0,...
Western Europe,Barracudas nei,Tonnes - live weight,"TLW, Number",3,,8,,5,,4,,1,,1,,7,,5,,1,,1,,2.88,
Others,Barracudas nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Caribbean,"Barracudas, etc. nei",Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,0,,0,,0,,0,,0,,0.02,,0,
